{'Input Sentence': 'the engine is overheating', 'Target Sentence': 'el motor esta sobrecalentado', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'you should get to school', 'Target Sentence': 'deberiais ir al colegio', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom wants to change out of his wet clothes into something dry', 'Target Sentence': 'tom quiere cambiarse la ropa mojada por algo seco', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom came early', 'Target Sentence': 'tom vino temprano', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'you should keep this machine clean and lubed', 'Target Sentence': 'deberia mantener esta maquina limpia y lubricada', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'she is certainly over forty', 'Target Sentence': 'ella seguro que pasa de los cuarenta', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i won t tell anybody else', 'Target Sentence': 'no se lo dire a nadie mas', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'there are more than seven thousand languages in the world', 'Target Sentence': 'hay mas de siete mil idiomas en el mundo', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom woke mary up at as she had asked him to do', 'Target Sentence': 'tom desperto a mary a las como ella le habia pedido', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'these books aren t just for children', 'Target Sentence': 'estos libros no son solo para ninos', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'we need to replace our water heater', 'Target Sentence': 'tenemos que remplazar nuestro calentador de agua', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i rewrote my report', 'Target Sentence': 'he vuelto a escribir mi informe', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'what other explanation can there be ?', 'Target Sentence': 'que otra explicacion puede haber ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i don t think that i deserved the punishment i got', 'Target Sentence': 'yo creo que no merecia el castigo que obtuve', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i spent the whole afternoon chatting with friends', 'Target Sentence': 'pase toda la tarde charlando con mis amigos', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'he doesn t know what to do with his money', 'Target Sentence': 'el no sabe que hacer con su dinero', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'the truth finally came out at his trial', 'Target Sentence': 'la verdad finalmente salio a la luz durante su juicio', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'if you want you can go', 'Target Sentence': 'si quieres puedes ir', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i just wanted to be with tom', 'Target Sentence': 'solo queria estar con tom', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i thought it d be more comfortable if we sat here', 'Target Sentence': 'pense que seria mas comodo si nos sentaramos aqui', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom speaks with mary every day', 'Target Sentence': 'tomas habla todos los dias con maria', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i am very tired', 'Target Sentence': 'estoy muy cansado', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'stop avoiding me', 'Target Sentence': 'deja de evitarme', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i know of her but i have never met her', 'Target Sentence': 'se de ella pero no la conozco personalmente', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'she bought two dozen eggs', 'Target Sentence': 'ella compro dos docenas de huevos', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'many thanks', 'Target Sentence': 'muchas gracias', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'what happened to the rest of the food ?', 'Target Sentence': 'que paso con el resto de la comida ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i wasn t interested in it', 'Target Sentence': 'no me interesaba', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'how far is it from here to your house ?', 'Target Sentence': 'a que distancia esta tu casa ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom had his chauffeur drive mary to the airport', 'Target Sentence': 'tom hizo que su chofer llevara a mary en coche al aeropuerto', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'my grandfather died when i was a boy', 'Target Sentence': 'mi abuelo murio cuando yo era un nino', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom wasn t terrified but mary was', 'Target Sentence': 'tom no estaba aterrorizado pero mary si', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'let me think', 'Target Sentence': 'dejame pensar !', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'they demoted you', 'Target Sentence': 'te descendieron', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom doesn t remember where he put his key', 'Target Sentence': 'tom no se acuerda de donde dejo sus llaves', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i often refer to the dictionary', 'Target Sentence': 'me suelo remitir al diccionario', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'it kept raining for a week', 'Target Sentence': 'siguio lloviendo por una semana', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'we have food', 'Target Sentence': 'tenemos comida', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'he is likely to win this game', 'Target Sentence': 'es posible que el gane este juego', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'he was completely worn out', 'Target Sentence': 'estaba agotadisimo', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom stayed in boston for three weeks', 'Target Sentence': 'tom se quedo en boston durante tres semanas', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i feel your loss', 'Target Sentence': 'siento vuestra perdida', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'we waited a long time but tom didn t show up', 'Target Sentence': 'esperamos mucho pero tom no aparecio', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'lincoln was opposed to slavery', 'Target Sentence': 'lincoln estaba en contra de la esclavitud', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'let s eat here', 'Target Sentence': 'comamos aqui', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i can t figure out how to transfer mp files to my ipod', 'Target Sentence': 'no puedo averiguar como transferir archivos mp a mi ipod', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i think we should ask tom why he left his last job', 'Target Sentence': 'segun yo deberiamos preguntarle a tom por que el dejo su ultimo trabajo', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i stayed at home all day instead of going to work', 'Target Sentence': 'me quede en casa todo el dia en lugar de ir a trabajar', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'it seems that everybody likes golf', 'Target Sentence': 'parece que a todo el mundo le gusta el golf', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'who was it that forgot to lock the door of the warehouse ?', 'Target Sentence': 'quien ha sido que olvido cerrar con llave la puerta del almacen ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'they were swimming', 'Target Sentence': 'ellos nadaban', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i don t doubt that she is married', 'Target Sentence': 'yo no dudo que ella este casada', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i got the news from a reliable source', 'Target Sentence': 'obtuve la noticia de una fuente confiable', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'how long does it take to get from here to your house on foot ?', 'Target Sentence': 'cuanto se tarda en ir desde aqui hasta tu casa andando ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom has three adult sons', 'Target Sentence': 'tomas tiene tres hijos grandes', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'he was a former university professor and researcher', 'Target Sentence': 'era un antiguo profesor universitario e investigador', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'the relationships among those five people are complicated', 'Target Sentence': 'las relaciones entre esos cinco son enredadas', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'this never happened', 'Target Sentence': 'esto no ha pasado nunca', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i don t have much belief in his abilities', 'Target Sentence': 'no le tengo mucha fe a sus capacidades', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'a truck got stuck on the railroad crossing', 'Target Sentence': 'un camion se atasco en el cruce ferroviario', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'the journalist was kidnapped by terrorists', 'Target Sentence': 'el periodista fue secuestrado por terroristas', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'she has good handwriting', 'Target Sentence': 'ella tiene buena letra', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'it was after midnight when we arrived', 'Target Sentence': 'fue pasada la medianoche cuando llegamos', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i got thirsty', 'Target Sentence': 'yo me puse sediento', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i leave in an hour', 'Target Sentence': 'me voy en una hora', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'the situation worries me very much', 'Target Sentence': 'la situacion me preocupa mucho', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'get yourselves cleaned up', 'Target Sentence': 'id a lavaros', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tell us more', 'Target Sentence': 'digannos mas', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'this is not safe', 'Target Sentence': 'esto no es seguro', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'this isn t a hospital', 'Target Sentence': 'esto no es un hospital', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'can you give me a lift to the station ?', 'Target Sentence': 'me puedes dar un aventon a la estacion ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'there s a grocery store on this street', 'Target Sentence': 'en esta calle hay una tienda de comestibles', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'it seems rather expensive to me', 'Target Sentence': 'me parece algo caro', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'what would you do if you were ten years younger ?', 'Target Sentence': 'que harias si tuvieras diez anos menos ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'all of us will die sooner or later', 'Target Sentence': 'todos moriremos tarde o temprano', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'come on out here', 'Target Sentence': 'sal aqui', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'you still seem to be upset', 'Target Sentence': 'aun pareces estar molesto', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'is that what you have in mind ?', 'Target Sentence': 'es eso lo que tienes en mente ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom didn t understand anything', 'Target Sentence': 'tomas no comprendio nada', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'time flies', 'Target Sentence': 'el tiempo vuela', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'five miles is a long distance to walk', 'Target Sentence': 'kilometros es mucho para caminarlo', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'she greeted me with a big smile', 'Target Sentence': 'ella me recibio con una gran sonrisa', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'he has a monthly income of dollars', 'Target Sentence': 'el tiene unos ingresos mensuales de dolares', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i can t believe you ve never heard of us', 'Target Sentence': 'no me puedo creer que nunca hayas oido hablar de nosotros', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'he never stopped writing', 'Target Sentence': 'el nunca dejo de escribir', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i ve never been in love', 'Target Sentence': 'nunca he estado enamorado', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i couldn t figure out how to open the door', 'Target Sentence': 'no se me ocurrio como abrir la puerta', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'do you have the latest version ?', 'Target Sentence': 'tienes la ultima version ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'she bought it at the butcher s', 'Target Sentence': 'ella lo compro en la carniceria', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i have to write a letter', 'Target Sentence': 'tengo que escribir una carta', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'bad news travels quickly', 'Target Sentence': 'las malas noticias viajan veloz', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'ask anything', 'Target Sentence': 'pregunten cualquier cosa', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i can t help loving her', 'Target Sentence': 'no puedo evitar quererla', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'how long are you going to keep whimpering about that ? you can t change the past', 'Target Sentence': 'por cuanto tiempo vas a continuar lamentandote acerca de eso ? no puedes cambiar el pasado', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'in the beginning god created the heavens and the earth', 'Target Sentence': 'en el principio dios creo los cielos y la tierra', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'what time is it ? it s', 'Target Sentence': 'que hora es ? son las tres y veinte', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'use this one', 'Target Sentence': 'usad esta', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i think i ll be able to stand that', 'Target Sentence': 'pienso que sere capaz de soportar eso', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom is going bald', 'Target Sentence': 'tom se esta quedando calvo', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'is tom babbling ?', 'Target Sentence': 'esta tom farfullando ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i m very lazy', 'Target Sentence': 'soy muy vago', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'how do you use this camera ?', 'Target Sentence': 'como se usa esta camara ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i want tom and mary to say that they were wrong', 'Target Sentence': 'quiero que tom y mary digan que estaban equivocados', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'when one has a wonderful dream one doesn t wish to come down to earth', 'Target Sentence': 'cuando uno tiene un sueno maravilloso no desea volver a la realidad', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i made that one', 'Target Sentence': 'yo hice aquel', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'the patient s condition changes every day', 'Target Sentence': 'la situacion del paciente cambia a cada dia que pasa', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'the man was arrested as a spy', 'Target Sentence': 'el hombre fue arrestado como espia', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'give me half of it', 'Target Sentence': 'dame la mitad', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'my nephew is allergic to eggs', 'Target Sentence': 'mi sobrino es alergico a los huevos', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'he has no eye for women', 'Target Sentence': 'el tiene mal gusto para mujeres', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'we spoke yesterday', 'Target Sentence': 'hablamos ayer', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'it isn t possible to do two things at once', 'Target Sentence': 'no es posible hacer dos cosas a la vez', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i ve got nothing to do', 'Target Sentence': 'no tengo nada que hacer', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'last year there was a bad harvest', 'Target Sentence': 'el ano pasado hubo una mala cosecha', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'how would you like your coffee ?', 'Target Sentence': 'como quiere su cafe ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'mary doesn t need makeup she s pretty just the way she is', 'Target Sentence': 'mary no necesita maquillaje es linda tal y como es', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom wants to get married', 'Target Sentence': 'tom quiere casarse', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'he had to pay the damages', 'Target Sentence': 'tuvo que pagar los danos', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i found it necessary to get up early every morning', 'Target Sentence': 'creo que es necesario levantarse temprano cada manana', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'are the windows open ?', 'Target Sentence': 'estan abiertas las ventanas ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom speaks good french', 'Target Sentence': 'tom habla bien frances', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'try something simpler', 'Target Sentence': 'mira mucho mas sencillo', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'we all have to be very careful', 'Target Sentence': 'todos tenemos que tener mucho cuidado', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'he looks kind of pale', 'Target Sentence': 'el esta un poco palido', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'now it s serious', 'Target Sentence': 'ahora se puso serio', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i don t know what they re doing', 'Target Sentence': 'no se que hacen', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'do we need to watch out for tigers around here ?', 'Target Sentence': 'debemos cuidarnos de los tigres por este alrededor ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'we weren t hiding', 'Target Sentence': 'no nos estabamos ocultando', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i liked them all', 'Target Sentence': 'me gustaban todos', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom forgot the rules', 'Target Sentence': 'tom olvido las normas', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom doesn t like me', 'Target Sentence': 'no le agrado a tom', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i might visit boston next october', 'Target Sentence': 'yo podria visitar boston el proximo octubre', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'to be always honest is not easy', 'Target Sentence': 'ser siempre honesto no es facil', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom wished he had had the courage to jump into the river and save the baby that had fallen in', 'Target Sentence': 'tom desearia haber tenido el valor de saltar al rio y salvar al bebe que se habia caido', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'we re looking for my book', 'Target Sentence': 'estamos buscando mi libro', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom has a cousin who is a doctor', 'Target Sentence': 'tom tiene una prima que es doctora', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'try your best', 'Target Sentence': 'prueba a ver que tal te va', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'do you need the key ?', 'Target Sentence': 'necesita usted la llave ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'you never told me anything about the accident', 'Target Sentence': 'nunca me contaste nada sobre el accidente', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom had an accident', 'Target Sentence': 'tom tuvo un accidente', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'the tumor was removed', 'Target Sentence': 'le sacaron el tumor', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'she knows many proverbs', 'Target Sentence': 'ella sabe muchos proverbios', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'this book is tom s', 'Target Sentence': 'este es el libro de tom', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i m not good at french', 'Target Sentence': 'no soy buena en frances', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'can you use a computer ?', 'Target Sentence': 'puedes usar una computadora ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'she came', 'Target Sentence': 'ella vino', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'ubuntu is a popular linux distribution', 'Target Sentence': 'ubuntu es una distribucion de linux popular', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'take your shoes off before going into a temple', 'Target Sentence': 'quitate los zapatos antes de entrar a un templo', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'you live here alone don t you ?', 'Target Sentence': 'usted vive aqui solo verdad ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i thought tom would be grateful', 'Target Sentence': 'pense que tom estaria agradecido', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'you need this', 'Target Sentence': 'necesitas esto', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i drive a convertible', 'Target Sentence': 'yo conduzco un descapotable', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i had an interesting day today', 'Target Sentence': 'hoy he tenido un dia interesante', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'he did not see anyone else at the station', 'Target Sentence': 'el no vio nadie mas en la estacion', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'you are not our friend', 'Target Sentence': 'no eres nuestro amigo', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'they heard a speech written especially for them', 'Target Sentence': 'ellos escucharon un discurso escrito especialmente para ellos', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i ve already taken out the trash', 'Target Sentence': 'ya he sacado la basura', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'don t catch a cold', 'Target Sentence': 'no te resfries', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'his death was a great loss to our firm', 'Target Sentence': 'su muerte fue una gran perdida para nuestra compania', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom looks pale is anything the matter with him ?', 'Target Sentence': 'tom se ve palido le pasa algo ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i wasn t in your apartment', 'Target Sentence': 'no estaba en tu apartamento', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i might be able to fit that in my schedule', 'Target Sentence': 'es posible que pueda encajar eso en mi calendario', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i m going to buy a few bottles of wine for dinner', 'Target Sentence': 'voy a comprar unas botellas de vino para la cena', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i m sure you d have fun doing that', 'Target Sentence': 'estoy seguro de que te divertirias haciendo eso', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'why don t you go on a diet ?', 'Target Sentence': 'por que no te pones a dieta ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'the old man was run over by a car', 'Target Sentence': 'un auto atropello al anciano', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'they never came', 'Target Sentence': 'ellos nunca vinieron', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'there s a hotel here', 'Target Sentence': 'aqui hay un hotel', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'few people have a typewriter', 'Target Sentence': 'pocas personas tienen maquina de escribir', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'signs that say high voltage are often yellow', 'Target Sentence': 'los letreros donde dice alta tension frecuentemente son amarillos', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'this is a good start', 'Target Sentence': 'este es un buen comienzo', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'she brought his lunch today', 'Target Sentence': 'ella trajo su almuerzo hoy dia', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'we must prevent this type of incident from recurring', 'Target Sentence': 'debemos evitar que este tipo de incidente se repita', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'mike tyson is a boxer', 'Target Sentence': 'mike tyson es un boxeador', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'this work s driving me crazy', 'Target Sentence': 'este trabajo me esta enloqueciendo', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'do you have rice ?', 'Target Sentence': 'usted tiene arroz ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'do i really remind you of tom ?', 'Target Sentence': 'te recuerdo realmente a tom ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i m alone', 'Target Sentence': 'yo estoy sola', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'the water s clean', 'Target Sentence': 'el agua esta limpia', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'you don t seem to realize how serious this is', 'Target Sentence': 'no pareces comprender la seriedad de esto', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'what do you want to drink ?', 'Target Sentence': 'que quieren beber ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'we should be careful what we say', 'Target Sentence': 'deberiamos ser cuidadosos con lo que decimos', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'as far as i know he s a nice guy', 'Target Sentence': 'por lo que se el es un buen tipo', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'she s scared of dogs', 'Target Sentence': 'ella teme a los perros', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom doesn t have an office', 'Target Sentence': 'tom no tiene una oficina', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom arrived late at the station', 'Target Sentence': 'tom llego tarde a la estacion', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'you re not holding your knife quite right', 'Target Sentence': 'no sujetas el cuchillo del todo bien', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'your name was mentioned', 'Target Sentence': 'se menciono tu nombre', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i wish i had done more', 'Target Sentence': 'desearia haber hecho mas', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'you have to turn in the reports on monday', 'Target Sentence': 'tienes que entregar los reportes el lunes', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i don t think that he will come', 'Target Sentence': 'creo que no vendra', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'do you think you could make it before lunch ?', 'Target Sentence': 'crees que lo puedas hacer antes del almuerzo ?', 'Predicted Sentence': '', 'Bleu Score': 0}
